date,merchant,amount,category,time_of_day,day_of_week
2023-03-15,Grocery Store,45.32,groceries,afternoon,Wednesday
2023-03-16,Coffee Shop,4.75,food,morning,Thursday
2023-03-16,Amazon,89.99,shopping,evening,Thursday
2023-03-17,UberEats,32.50,food,evening,Friday
2023-03-18,Target,67.25,shopping,afternoon,Saturday
2023-03-19,Netflix,14.99,entertainment,evening,Sunday
2023-03-20,Gas Station,48.75,transportation,morning,Monday
2023-03-21,UberEats,28.45,food,evening,Tuesday
2023-03-22,Online Shopping,124.50,shopping,night,Wednesday
2023-03-23,Pharmacy,22.35,health,afternoon,Thursday
2023-03-24,Restaurant,85.60,food,evening,Friday
2023-03-25,Grocery Store,52.10,groceries,morning,Saturday
2023-03-26,Movie Theater,32.00,entertainment,evening,Sunday
2023-03-27,Coffee Shop,6.25,food,morning,Monday
2023-03-28,UberEats,35.75,food,night,Tuesday
2023-03-29,Amazon,45.99,shopping,night,Wednesday
2023-03-30,Fast Food,12.85,food,afternoon,Thursday
2023-03-31,Utility Bill,95.40,bills,morning,Friday
2023-04-01,Clothing Store,135.75,shopping,afternoon,Saturday
2023-04-02,Grocery Store,48.25,groceries,afternoon,Sunday
2023-04-03,Online Shopping,78.50,shopping,night,Monday
2023-04-04,UberEats,42.30,food,night,Tuesday
2023-04-05,Subscription,9.99,entertainment,morning,Wednesday